listing_id,product_family_key,brand,device_type,price_usd,condition_grade,condition_tier,gpu_brand,processor_brand,processor_family,processor_generation,processor_speed_ghz,os,storage_type,hdd_capacity_gb,ssd_capacity_gb,total_storage_gb,storage_tier,ram_gb,ram_tier,screen_size_inch,screen_tier,display_width_px,display_height_px,color,feature_count,has_touchscreen,has_backlit_keyboard,has_bluetooth,has_wifi
1,Other/Unbranded_Other/Unspecified_8GB_2TB_14-16in,Other/Unbranded,Notebook/Laptop,303.8,New,New,Intel,Other,Other/Unspecified,,3.8,Windows,SSD,512.0,1000.0,1512.0,2TB,8.0,8GB,14.0,14-16in,2160.0,1440.0,Gray,3,False,True,False,False
2,Dell_i7_Unk_2TB_14-16in,Dell,Notebook/Laptop,400.0,Refurbished - Very Good,Refurbished,Intel,Intel,i7,8.0,4.2,Windows,SSD,2000.0,,2000.0,2TB,,Unk,14.0,14-16in,1920.0,1080.0,Black,8,False,True,True,True
3,Dell_i5_16GB_1TB_14-16in,Dell,Notebook/Laptop,175.0,Used,Used,Intel,Intel,i5,,2.4,Windows,SSD,500.0,500.0,1000.0,1TB,16.0,16GB,14.0,14-16in,1920.0,1080.0,Black,8,True,True,True,True
4,HP_celeron_4GB_16GB_Sub-12in,HP,Notebook/Laptop,85.0,Refurbished - Good,Refurbished,Intel,Intel,celeron,,2.4,Chrome,EMMC,16.0,,16.0,16GB,4.0,4GB,11.6,Sub-12in,1366.0,768.0,Black,5,False,False,True,True
5,Dell_i5_8GB_256GB_12-14in,Dell,Notebook/Laptop,101.25,Refurbished - Good,Refurbished,Other,Intel,i5,6.0,1.4,Windows,SSD,,256.0,256.0,256GB,8.0,8GB,12.5,12-14in,1366.0,768.0,Other,4,False,False,False,True
6,Acer_celeron_4GB_16GB_Sub-12in,Acer,Notebook/Laptop,50.0,Unknown,Unknown,Other,Intel,celeron,,1.6,Chrome,SSD,,16.0,16.0,16GB,4.0,4GB,11.6,Sub-12in,1366.0,768.0,Black,2,True,False,True,False
7,HP_celeron_4GB_32GB_Sub-12in,HP,Notebook/Laptop,39.6,Unknown,Unknown,Other,Intel,celeron,,1.6,Chrome,SSD,16.0,16.0,32.0,32GB,4.0,4GB,11.6,Sub-12in,,,Black,2,False,False,True,False
8,Acer_celeron_2GB_16GB_Sub-12in,Acer,Notebook/Laptop,35.0,Unknown,Unknown,Other,Intel,celeron,,1.0,Chrome,Unknown,16.0,,16.0,16GB,2.0,2GB,11.6,Sub-12in,,,Gray,0,False,False,False,False
9,Dell_i7_16GB_2TB_14-16in,Dell,Notebook/Laptop,280.0,Refurbished - Excellent,Refurbished,Other,Intel,i7,,2.8,Windows,SSD,512.0,500.0,1012.0,2TB,16.0,16GB,14.0,14-16in,1920.0,1080.0,Black,1,False,False,False,True
10,HP_i3_8GB_64GB_14-16in,HP,Notebook/Laptop,125.0,Unknown,Unknown,Intel,Intel,i3,10.0,2.1,Chrome,EMMC,,64.0,64.0,64GB,8.0,8GB,14.0,14-16in,1920.0,1080.0,Silver,6,True,True,True,True
11,Lenovo_i5_16GB_128GB_14-16in,Lenovo,Notebook/Laptop,138.0,Used,Used,Intel,Intel,i5,,1.7,Windows,SSD,,128.0,128.0,128GB,16.0,16GB,14.0,14-16in,1920.0,1080.0,Black,2,False,False,False,False
12,Samsung_i5_Unk_Unk_12-14in,Samsung,Other,430.5,New,New,Other,Intel,i5,12.0,,Unknown,Unknown,,,,Unk,,Unk,13.3,12-14in,,,Other,0,False,False,False,False
13,Acer_celeron_4GB_32GB_Sub-12in,Acer,Notebook/Laptop,70.0,Unknown,Unknown,Intel,Intel,celeron,,1.1,Chrome,EMMC,,32.0,32.0,32GB,4.0,4GB,11.6,Sub-12in,1366.0,768.0,Silver,1,False,False,True,False
14,Other/Unbranded_celeron_8GB_512GB_14-16in,Other/Unbranded,Notebook/Laptop,152.0,New,New,Intel,Intel,celeron,,2.8,Windows,SSD,256.0,256.0,512.0,512GB,8.0,8GB,14.1,14-16in,1920.0,1080.0,Gray,1,False,False,False,True
15,Other/Unbranded_i5_8GB_2TB_14-16in,Other/Unbranded,Notebook/Laptop,244.0,New,New,Intel,Intel,i5,,3.8,Windows,HDD/SSD,512.0,512.0,1024.0,2TB,8.0,8GB,14.0,14-16in,2160.0,1440.0,Gray,4,False,True,True,True
16,Dell_i5_8GB_256GB_Unk,Dell,Notebook/Laptop,170.0,Used,Used,Other,Intel,i5,7.0,,Windows,SSD,128.0,128.0,256.0,256GB,8.0,8GB,,Unk,1920.0,1080.0,Black,7,True,True,True,True
17,Dell_i5_16GB_512GB_14-16in,Dell,Notebook/Laptop,218.0,Used,Used,Intel,Intel,i5,8.0,1.6,Unknown,SSD,,512.0,512.0,512GB,16.0,16GB,15.6,14-16in,1920.0,1080.0,Black,5,True,True,True,True
18,Dell_celeron_4GB_256GB_Sub-12in,Dell,Notebook/Laptop,130.0,Used,Used,Intel,Intel,celeron,,1.1,Windows,SSD,128.0,128.0,256.0,256GB,4.0,4GB,11.0,Sub-12in,1366.0,768.0,Black,5,True,False,True,False
19,Acer_celeron_4GB_32GB_Sub-12in,Acer,Notebook/Laptop,40.0,Used,Used,Intel,Intel,celeron,,1.6,Chrome,SSD,16.0,16.0,32.0,32GB,4.0,4GB,11.6,Sub-12in,1366.0,768.0,Gray,5,False,False,True,True
20,Dell_i7_Unk_2TB_14-16in,Dell,Notebook/Laptop,393.0,Refurbished - Very Good,Refurbished,Intel,Intel,i7,8.0,4.2,Windows,SSD,2000.0,,2000.0,2TB,,Unk,14.0,14-16in,1920.0,1080.0,Black,7,False,True,True,True
21,Dell_i7_32GB_2TB_16in+,Dell,Other,625.0,Open Box,Like-New,Other,Intel,i7,13.0,4.4,Windows,SSD,1000.0,1000.0,2000.0,2TB,32.0,32GB,16.0,16in+,2560.0,1600.0,Other,6,False,True,True,True
22,Dell_ryzen5_16GB_512GB_14-16in,Dell,Notebook/Laptop,315.0,Unknown,Unknown,Amd,AMD,ryzen 5,,2.3,Windows,SSD,,512.0,512.0,512GB,16.0,16GB,14.0,14-16in,1920.0,1080.0,Silver,0,False,False,False,False
23,Dell_i5_8GB_512GB_12-14in,Dell,Notebook/Laptop,200.0,Used,Used,Intel,Intel,i5,6.0,2.6,Windows,SSD,256.0,256.0,512.0,512GB,8.0,8GB,12.5,12-14in,1920.0,1080.0,Black,3,False,False,True,False
24,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,227.4,Used,Used,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
25,HP_i5_16GB_512GB_12-14in,HP,Notebook/Laptop,300.0,New,New,Intel,Intel,i5,,1.6,Unknown,SSD,,512.0,512.0,512GB,16.0,16GB,13.0,12-14in,3000.0,2000.0,Silver,5,True,True,True,False
26,Microsoft_i5_4GB_256GB_12-14in,Microsoft,Notebook/Laptop,60.0,Used,Used,Other,Intel,i5,4.0,1.9,Windows,SSD,128.0,128.0,256.0,256GB,4.0,4GB,12.0,12-14in,2160.0,1440.0,Gray,0,False,False,False,False
27,Lenovo_celeron_2GB_16GB_Sub-12in,Lenovo,Notebook/Laptop,45.0,Unknown,Unknown,Intel,Intel,celeron,,1.1,Chrome,EMMC,,16.0,16.0,16GB,0.004,2GB,11.6,Sub-12in,1366.0,768.0,Black,7,True,False,True,True
28,HP_i5_32GB_2TB+_14-16in,HP,Notebook/Laptop,439.0,New,New,Intel,Intel,i5,,,Windows,SSD,2000.0,2000.0,4000.0,2TB+,32.0,32GB,15.6,14-16in,1920.0,1080.0,Silver,8,False,False,True,True
29,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,206.6,Used,Used,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
30,Dell_i5_16GB_2TB_14-16in,Dell,Notebook/Laptop,345.0,Refurbished - Very Good,Refurbished,Intel,Intel,i5,7.0,3.1,Windows,SSD,512.0,512.0,1024.0,2TB,16.0,16GB,15.6,14-16in,1920.0,1080.0,Black,8,False,True,True,True
31,Other/Unbranded_Other/Unspecified_16GB_2TB_14-16in,Other/Unbranded,Notebook/Laptop,242.0,New,New,Intel,Other,Other/Unspecified,,,Windows,SSD,512.0,512.0,1024.0,2TB,16.0,16GB,15.6,14-16in,1920.0,1080.0,Gray,4,False,False,True,True
32,HP_i7_Unk_2TB_14-16in,HP,Notebook/Laptop,420.0,Refurbished - Very Good,Refurbished,Intel,Intel,i7,8.0,4.2,Windows,SSD,2000.0,,2000.0,2TB,,Unk,14.0,14-16in,1920.0,1080.0,Black,6,False,False,True,True
33,Lenovo_celeron_Unk_128GB_Sub-12in,Lenovo,Notebook/Laptop,73.0,Used,Used,Other,Intel,celeron,,1.6,Windows,SSD,,128.0,128.0,128GB,,Unk,11.6,Sub-12in,1366.0,768.0,Black,8,True,False,True,True
34,HP_i5_16GB_512GB_14-16in,HP,Notebook/Laptop,209.0,Refurbished - Very Good,Refurbished,Intel,Intel,i5,,2.5,Windows,SSD,,512.0,512.0,512GB,16.0,16GB,15.6,14-16in,,,Black,5,False,False,True,True
35,Other/Unbranded_celeron_8GB_512GB_14-16in,Other/Unbranded,Notebook/Laptop,150.0,New,New,Intel,Intel,celeron,,,Windows,SSD,256.0,256.0,512.0,512GB,8.0,8GB,14.1,14-16in,1920.0,1080.0,Gray,5,False,True,True,True
36,Lenovo_i7_16GB_512GB_16in+,Lenovo,Notebook/Laptop,799.0,Unknown,Unknown,Nvidia,Intel,i7,12.0,3.5,Windows,SSD,,512.0,512.0,512GB,16.0,16GB,16.0,16in+,2560.0,1600.0,Gray,2,False,False,True,True
37,Lenovo_i5_8GB_512GB_14-16in,Lenovo,Notebook/Laptop,100.0,Used,Used,Intel,Intel,i5,,1.9,Unknown,SSD,256.0,256.0,512.0,512GB,8.0,8GB,14.0,14-16in,,,Brown,1,True,False,False,False
38,Dell_i7_16GB_2TB_14-16in,Dell,Notebook/Laptop,219.0,Used,Used,Other,Intel,i7,,,Windows,SSD,512.0,512.0,1024.0,2TB,16.0,16GB,15.61,14-16in,1920.0,1080.0,Black,2,False,True,False,False
39,Dell_i5_8GB_256GB_14-16in,Dell,Notebook/Laptop,152.5,Used,Used,Intel,Intel,i5,,1.6,Windows,SSD,,256.0,256.0,256GB,8.0,8GB,14.0,14-16in,1366.0,768.0,Black,7,False,False,True,True
40,Other/Unbranded_celeron_16GB_1TB_12-14in,Other/Unbranded,Notebook/Laptop,269.5,New,New,Intel,Intel,celeron,,2.8,Windows,SSD,12.0,512.0,524.0,1TB,12.0,16GB,13.5,12-14in,2256.0,1504.0,Gray,3,False,False,True,False
41,Lenovo_i5_16GB_256GB_14-16in,Lenovo,Other,130.0,Used,Used,Other,Intel,i5,,,Unknown,Unknown,,256.0,256.0,256GB,16.0,16GB,14.0,14-16in,,,Black,5,True,False,False,False
42,Dell_ryzen5_16GB_2TB_14-16in,Dell,Notebook/Laptop,489.0,New,New,Amd,AMD,ryzen 5,,,Windows,SSD,512.0,512.0,1024.0,2TB,16.0,16GB,15.6,14-16in,1920.0,1080.0,Black,6,False,False,True,True
43,Dell_i5_8GB_16GB_14-16in,Dell,Notebook/Laptop,120.0,Used,Used,Other,Intel,i5,6.0,2.4,Unknown,SSD,8.0,,8.0,16GB,8.0,8GB,14.0,14-16in,1920.0,1080.0,Black,8,True,False,True,True
44,LG_i7_16GB_512GB_16in+,LG,Notebook/Laptop,550.0,Used,Used,Other,Intel,i7,,,Windows,Unknown,,512.0,512.0,512GB,16.0,16GB,17.3,16in+,,,Black,0,False,False,False,False
45,HP_celeron_16GB_32GB_14-16in,HP,Notebook/Laptop,29.98,Used,Used,Other,Intel,celeron,,2.16,Chrome,SSD,16.0,16.0,32.0,32GB,16.0,16GB,14.0,14-16in,1366.0,768.0,Multicolor,1,False,False,False,True
46,HP_i3_8GB_512GB_14-16in,HP,Notebook/Laptop,145.0,Refurbished - Very Good,Refurbished,Intel,Intel,i3,6.0,2.3,Windows,SSD,,512.0,512.0,512GB,8.0,8GB,15.6,14-16in,,,Black,4,False,False,True,True
47,Dell_i5_8GB_512GB_14-16in,Dell,Other,160.0,Used,Used,Other,Intel,i5,,2.3,Windows,SSD,256.0,256.0,512.0,512GB,8.0,8GB,15.6,14-16in,,,Other,0,False,False,False,False
48,HP_celeron_4GB_32GB_Sub-12in,HP,Notebook/Laptop,85.0,Refurbished - Very Good,Refurbished,Intel,Intel,celeron,,,Chrome,EMMC,16.0,16.0,32.0,32GB,4.0,4GB,11.6,Sub-12in,1366.0,768.0,Multicolor,4,False,False,True,True
49,Microsoft_i5_32GB+_512GB_12-14in,Microsoft,Notebook/Laptop,69.6,For Parts / Not Working,End-of-Life,Other,Intel,i5,,,Unknown,SSD,256.0,256.0,512.0,512GB,256.0,32GB+,12.5,12-14in,,,Other,5,False,True,True,False
50,HP_celeron_4GB_32GB_Sub-12in,HP,Other,70.0,Used,Used,Intel,Intel,celeron,,1.6,Chrome,EMMC,16.0,16.0,32.0,32GB,4.0,4GB,11.6,Sub-12in,1366.0,768.0,Black,6,True,False,True,True
51,HP_Other/Unspecified_4GB_32GB_Sub-12in,HP,Notebook/Laptop,49.0,Used,Used,Other,AMD,Other/Unspecified,,1.6,Chrome,EMMC,16.0,16.0,32.0,32GB,4.0,4GB,11.6,Sub-12in,1366.0,768.0,Gray,4,False,False,True,True
52,Dell_i7_8GB_512GB_12-14in,Dell,Notebook/Laptop,130.0,Used,Used,Intel,Intel,i7,6.0,2.6,Windows,SSD,256.0,256.0,512.0,512GB,8.0,8GB,12.5,12-14in,1920.0,1080.0,Black,8,True,True,True,True
53,Lenovo_Unknown_Unk_Unk_14-16in,Lenovo,Other,135.0,For Parts / Not Working,End-of-Life,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,14.0,14-16in,,,Other,0,False,False,False,False
54,Lenovo_i5_4GB_512GB_12-14in,Lenovo,Notebook/Laptop,81.0,Unknown,Unknown,Other,Intel,i5,2.0,2.5,Windows,HDD/SSD,320.0,120.0,440.0,512GB,4.0,4GB,12.5,12-14in,1366.0,768.0,Black,4,True,False,True,False
55,Microsoft_Other/Unspecified_2GB_512GB_12-14in,Microsoft,Other,103.75,Unknown,Unknown,Other,Other,Other/Unspecified,,2.6,Unknown,SSD,512.0,,512.0,512GB,1.0,2GB,13.5,12-14in,3000.0,2000.0,Silver,9,True,True,True,True
56,Dell_i5_8GB_256GB_14-16in,Dell,Notebook/Laptop,200.0,Used,Used,Nvidia,Intel,i5,,2.5,Windows,SSD,,256.0,256.0,256GB,8.0,8GB,15.6,14-16in,1920.0,1080.0,Black,5,False,False,True,True
57,Dell_i7_Unk_512GB_12-14in,Dell,Notebook/Laptop,288.0,Used,Used,Intel,Intel,i7,,2.8,Windows,SSD,,512.0,512.0,512GB,,Unk,12.5,12-14in,,,Other,3,True,False,False,True
58,Dell_i5_8GB_512GB_14-16in,Dell,Notebook/Laptop,105.0,Used,Used,Other,Intel,i5,6.0,2.6,Windows,SSD,256.0,256.0,512.0,512GB,8.0,8GB,14.0,14-16in,1920.0,1080.0,Black,3,False,False,False,True
59,Dell_celeron_4GB_32GB_12-14in,Dell,Notebook/Laptop,39.94,Used,Used,Other,Intel,celeron,,1.6,Chrome,EMMC,16.0,16.0,32.0,32GB,4.0,4GB,13.3,12-14in,1366.0,768.0,Black,4,False,False,True,True
60,Lenovo_i3_8GB_256GB_Sub-12in,Lenovo,Other,90.0,Used,Used,Other,Intel,i3,,2.3,Windows,SSD,128.0,128.0,256.0,256GB,8.0,8GB,11.6,Sub-12in,1366.0,768.0,Black,1,True,False,False,False
61,Lenovo_i5_32GB_2TB_14-16in,Lenovo,Notebook/Laptop,599.0,New,New,Intel,Intel,i5,,4.2,Windows,SSD,1000.0,1000.0,2000.0,2TB,20.0,32GB,15.6,14-16in,1920.0,1080.0,Grey,8,True,False,True,True
62,Other/Unbranded_i7_8GB_1TB_16in+,Other/Unbranded,Notebook/Laptop,800.0,Used,Used,Other,Intel,i7,,1.73,Windows,HDD/SSD,500.0,500.0,1000.0,1TB,8.0,8GB,18.4,16in+,,,Other,0,False,False,False,False
63,Dell_i5_16GB_1TB_14-16in,Dell,Notebook/Laptop,170.0,Refurbished - Very Good,Refurbished,Other,Intel,i5,6.0,2.4,Unknown,SSD,500.0,500.0,1000.0,1TB,16.0,16GB,14.0,14-16in,,,Other,0,False,False,False,False
64,Dell_i7_16GB_512GB_14-16in,Dell,Notebook/Laptop,239.0,Used,Used,Other,Intel,i7,6.0,2.7,Windows,SSD,,512.0,512.0,512GB,16.0,16GB,15.6,14-16in,,,Other,0,False,False,False,False
65,Dell_i7_8GB_256GB_12-14in,Dell,Notebook/Laptop,169.0,Used,Used,Intel,Intel,i7,8.0,1.8,Windows,Unknown,,256.0,256.0,256GB,8.0,8GB,13.3,12-14in,1920.0,1080.0,Silver,4,False,False,True,True
66,HP_i5_32GB_1TB_14-16in,HP,Notebook/Laptop,290.0,Refurbished - Very Good,Refurbished,Intel,Intel,i5,8.0,2.6,Windows,SSD,500.0,500.0,1000.0,1TB,32.0,32GB,14.0,14-16in,1920.0,1080.0,Silver,1,False,False,False,True
67,Dell_i7_8GB_Unk_14-16in,Dell,Notebook/Laptop,90.0,Used,Used,Other,Intel,i7,,,Unknown,OTHER,,,,Unk,8.0,8GB,14.0,14-16in,,,Black,0,False,False,False,False
68,Lenovo_i5_8GB_256GB_12-14in,Lenovo,Notebook/Laptop,105.0,Used,Used,Other,Intel,i5,,2.6,Unknown,Unknown,180.0,,180.0,256GB,8.0,8GB,12.5,12-14in,,,Other,0,False,False,False,False
69,Microsoft_i5_8GB_256GB_12-14in,Microsoft,Notebook/Laptop,409.0,Open Box,Like-New,Intel,Intel,i5,11.0,2.4,Windows,SSD,,256.0,256.0,256GB,8.0,8GB,12.3,12-14in,2736.0,1824.0,Silver,4,True,False,True,True
70,Dell_i5_8GB_512GB_14-16in,Dell,Notebook/Laptop,200.0,Used,Used,Intel,Intel,i5,6.0,2.4,Windows,SSD,256.0,256.0,512.0,512GB,8.0,8GB,14.0,14-16in,1920.0,1080.0,Black,7,True,True,True,True
71,Lenovo_Other/Unspecified_Unk_32GB_Sub-12in,Lenovo,Other,55.0,Unknown,Unknown,Mali,Other,Other/Unspecified,,2.0,Chrome,EMMC,,32.0,32.0,32GB,,Unk,10.1,Sub-12in,1920.0,1200.0,Gray,5,True,False,True,True
72,Other/Unbranded_celeron_16GB_1TB_14-16in,Other/Unbranded,Notebook/Laptop,225.0,New,New,Amd,Intel,celeron,,2.8,Windows,SSD,12.0,512.0,524.0,1TB,12.0,16GB,15.6,14-16in,1920.0,1200.0,Silver,4,False,False,True,True
73,HP_i5_8GB_512GB_14-16in,HP,Notebook/Laptop,659.0,Unknown,Unknown,Nvidia,Intel,i5,13.0,2.1,Windows,SSD,,512.0,512.0,512GB,8.0,8GB,15.6,14-16in,1920.0,1080.0,Blue,1,False,True,False,False
74,Dell_i5_16GB_2TB_14-16in,Dell,Notebook/Laptop,229.0,Used,Used,Intel,Intel,i5,10.0,1.7,Unknown,SSD,512.0,512.0,1024.0,2TB,16.0,16GB,14.0,14-16in,1920.0,1080.0,Gray,4,False,True,True,True
75,HP_i7_16GB_2TB_14-16in,HP,Notebook/Laptop,210.0,Used,Used,Other,Intel,i7,6.0,,Unknown,SSD,512.0,512.0,1024.0,2TB,16.0,16GB,15.6,14-16in,,,Other,0,False,False,False,False
76,Lenovo_i7_16GB_2TB_14-16in,Lenovo,Notebook/Laptop,180.0,Used,Used,Intel,Intel,i7,6.0,2.6,Windows,SSD,512.0,512.0,1024.0,2TB,16.0,16GB,14.1,14-16in,2560.0,1440.0,Black,4,False,True,True,False
77,Other/Unbranded_i5_16GB_Unk_12-14in,Other/Unbranded,Other,675.0,Used,Used,Other,Intel,i5,6.0,2.4,Windows,SSD,,,,Unk,16.0,16GB,12.0,12-14in,2160.0,1440.0,Silver,12,True,True,True,True
78,Dell_i5_8GB_256GB_14-16in,Dell,Notebook/Laptop,125.94,Refurbished - Very Good,Refurbished,Intel,Intel,i5,,2.4,Windows,SSD,,240.0,240.0,256GB,8.0,8GB,14.0,14-16in,1366.0,768.0,Black,5,False,True,True,True
79,Lenovo_celeron_4GB_128GB_12-14in,Lenovo,Notebook/Laptop,90.0,Used,Used,Intel,Intel,celeron,,2.2,Windows,SSD,,128.0,128.0,128GB,4.0,4GB,13.0,12-14in,1366.0,768.0,Gray,4,False,False,True,True
80,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,271.8,Refurbished - Very Good,Refurbished,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
81,HP_i5_8GB_256GB_14-16in,HP,Notebook/Laptop,999.0,Used,Used,Other,Intel,i5,,1.6,Unknown,SSD,,256.0,256.0,256GB,8.0,8GB,15.6,14-16in,,,Other,2,False,False,False,False
82,Lenovo_i5_16GB_256GB_14-16in,Lenovo,Notebook/Laptop,229.0,Used,Used,Other,Intel,i5,8.0,1.7,Windows,SSD,,256.0,256.0,256GB,16.0,16GB,14.0,14-16in,1920.0,1080.0,Other,7,False,True,True,True
83,Asus_i3_8GB_512GB_14-16in,Asus,Notebook/Laptop,293.0,Unknown,Unknown,Intel,Intel,i3,11.0,1.8,Windows,SSD,256.0,256.0,512.0,512GB,8.0,8GB,15.6,14-16in,1920.0,1080.0,Gray,6,False,True,True,True
84,Dell_i5_16GB_512GB_14-16in,Dell,Other,185.0,Used,Used,Other,Intel,i5,,1.7,Unknown,SSD,,512.0,512.0,512GB,16.0,16GB,14.0,14-16in,1920.0,1080.0,Gray,4,False,True,True,True
85,HP_i7_8GB_512GB_Sub-12in,HP,Notebook/Laptop,259.0,Used,Used,Intel,Intel,i7,4.0,2.1,Windows,SSD,256.0,256.0,512.0,512GB,8.0,8GB,11.6,Sub-12in,1366.0,768.0,Silver,8,True,True,True,True
86,Other/Unbranded_Unknown_Unk_Unk_Sub-12in,Other/Unbranded,Notebook/Laptop,115.0,Used,Used,Other,Unknown,Unknown,,,Linux,Unknown,,,,Unk,,Unk,7.2,Sub-12in,,,Multicolor,2,False,False,False,True
87,Acer_celeron_4GB_64GB_Sub-12in,Acer,Notebook/Laptop,41.0,Used,Used,Intel,Intel,celeron,,2.48,Chrome,EMMC,32.0,32.0,64.0,64GB,4.0,4GB,11.6,Sub-12in,1366.0,768.0,Gray,1,True,False,False,False
88,Dell_celeron_4GB_128GB_Sub-12in,Dell,Notebook/Laptop,75.0,Used,Used,Other,Intel,celeron,,1.1,Windows,SSD,,128.0,128.0,128GB,4.0,4GB,11.6,Sub-12in,1366.0,768.0,Black,1,True,False,False,False
89,HP_ryzen3_16GB_256GB_14-16in,HP,Notebook/Laptop,510.0,Used,Used,Other,AMD,ryzen 3,,,Unknown,Unknown,,256.0,256.0,256GB,16.0,16GB,14.0,14-16in,,,Silver,0,False,False,False,False
90,Lenovo_celeron_4GB_256GB_14-16in,Lenovo,Notebook/Laptop,170.0,Unknown,Unknown,Intel,Intel,celeron,,1.1,Windows,EMMC,128.0,128.0,256.0,256GB,4.0,4GB,14.0,14-16in,1366.0,768.0,Gray,5,False,True,True,True
91,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,59.8,For Parts / Not Working,End-of-Life,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
92,HP_celeron_4GB_64GB_Sub-12in,HP,Notebook/Laptop,44.75,Used,Used,Other,Intel,celeron,,1.1,Chrome,SSD,32.0,32.0,64.0,64GB,4.0,4GB,11.6,Sub-12in,1366.0,768.0,Gray,3,True,False,True,False
93,Dell_i5_Unk_Unk_14-16in,Dell,Other,209.0,Used,Used,Other,Intel,i5,8.0,,Unknown,Unknown,,,,Unk,,Unk,14.1,14-16in,,,Other,0,False,False,False,False
94,Lenovo_celeron_4GB_32GB_Sub-12in,Lenovo,Other,180.0,Used,Used,Other,Other,celeron,,,Chrome,SSD,16.0,16.0,32.0,32GB,4.0,4GB,11.6,Sub-12in,,,Other,0,False,False,False,False
95,Dell_i7_16GB_1TB_12-14in,Dell,Notebook/Laptop,220.0,Refurbished - Excellent,Refurbished,Intel,Intel,i7,7.0,2.6,Windows,SSD,500.0,500.0,1000.0,1TB,16.0,16GB,12.5,12-14in,1920.0,1080.0,Other,1,False,False,False,True
96,Dell_i7_16GB_2TB_12-14in,Dell,Notebook/Laptop,260.0,Refurbished - Excellent,Refurbished,Other,Intel,i7,8.0,1.9,Windows,SSD,512.0,512.0,1024.0,2TB,16.0,16GB,13.3,12-14in,1920.0,1080.0,Other,1,False,False,False,True
97,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,59.4,New,New,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
98,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,306.8,Refurbished - Good,Refurbished,Intel,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
99,Lenovo_Unknown_Unk_Unk_Unk,Lenovo,Other,73.0,New,New,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
100,Dell_i5_Unk_512GB_14-16in,Dell,Notebook/Laptop,389.8,Used,Used,Intel,Intel,i5,4.0,,Windows,Unknown,,480.0,480.0,512GB,,Unk,14.0,14-16in,1280.0,720.0,Other,0,False,False,False,False
101,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,107.44,Used,Used,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
102,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,1179.0,Used,Used,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
103,Dell_i5_16GB_256GB_14-16in,Dell,Notebook/Laptop,300.0,Used,Used,Intel,Intel,i5,4.0,2.0,Windows,SSD,,256.0,256.0,256GB,12.0,16GB,14.0,14-16in,1366.0,768.0,Black,6,True,True,True,True
104,HP_core2duo_4GB_256GB_14-16in,HP,Notebook/Laptop,69.0,Used,Used,Intel,Intel,core 2 duo,,2.0,Linux,SSD,,240.0,240.0,256GB,3.0,4GB,14.0,14-16in,1280.0,800.0,Multicolor,3,False,False,False,False
105,Lenovo_Other/Unspecified_16GB_256GB_14-16in,Lenovo,Other,244.8,Used,Used,Intel,Other,Other/Unspecified,,1.6,Windows,Unknown,,256.0,256.0,256GB,16.0,16GB,14.0,14-16in,1366.0,768.0,Black,2,False,False,True,True
106,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,10.52,Used,Used,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
107,Lenovo_i5_8GB_256GB_12-14in,Lenovo,Notebook/Laptop,370.0,Unknown,Unknown,Intel,Intel,i5,10.0,1.6,Windows,SSD,,256.0,256.0,256GB,8.0,8GB,13.3,12-14in,1920.0,1080.0,Black,2,True,True,False,False
108,Lenovo_i3_8GB_256GB_14-16in,Lenovo,Notebook/Laptop,270.0,Unknown,Unknown,Intel,Intel,i3,12.0,1.2,Windows,SSD,,256.0,256.0,256GB,8.0,8GB,14.0,14-16in,1920.0,1200.0,Gray,5,True,False,True,True
109,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,64.6,New,New,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
