listing_id,product_family_key,brand,device_type,price_usd,condition_grade,condition_tier,gpu_brand,processor_brand,processor_family,processor_generation,processor_speed_ghz,os,storage_type,hdd_capacity_gb,ssd_capacity_gb,total_storage_gb,storage_tier,ram_gb,ram_tier,screen_size_inch,screen_tier,display_width_px,display_height_px,color,feature_count,has_touchscreen,has_backlit_keyboard,has_bluetooth,has_wifi
2244,Dell_i5_4GB_256GB_14-16in,Dell,Notebook/Laptop,90.0,Used,Used,Intel,Intel,i5,,2.5,Windows,HDD/SSD,160.0,,160.0,256GB,4.0,4GB,14.1,14-16in,1024.0,768.0,Black,5,False,False,False,True
2245,Dell_i3_8GB_128GB_12-14in,Dell,Notebook/Laptop,248.5,Used,Used,Intel,Intel,i3,4.0,1.7,Windows,SSD,,120.0,120.0,128GB,8.0,8GB,13.3,12-14in,1366.0,768.0,Gray,5,False,False,True,False
2246,HP_i5_16GB_256GB_12-14in,HP,Notebook/Laptop,727.0,Used,Used,Other,Intel,i5,,,Unknown,Unknown,,256.0,256.0,256GB,16.0,16GB,13.5,12-14in,,,Other,0,False,False,False,False
2247,HP_i7_8GB_512GB_Sub-12in,HP,Notebook/Laptop,210.0,Used,Used,Other,Intel,i7,5.0,2.6,Windows,SSD,256.0,256.0,512.0,512GB,8.0,8GB,11.6,Sub-12in,1366.0,768.0,Silver,4,True,False,True,False
2248,Asus_ryzen7_16GB_2TB_14-16in,Asus,Notebook/Laptop,806.0,Unknown,Unknown,Nvidia,AMD,ryzen 7,,3.2,Windows,SSD,1000.0,1000.0,2000.0,2TB,16.0,16GB,14.0,14-16in,2880.0,1800.0,Blue,7,False,True,True,True
2249,Lenovo_i7_16GB_512GB_14-16in,Lenovo,Notebook/Laptop,699.0,Refurbished - Excellent,Refurbished,Other,Intel,i7,,3.0,Windows,SSD,,512.0,512.0,512GB,16.0,16GB,14.0,14-16in,,,Black,0,False,False,False,False
2250,HP_Other/Unspecified_4GB_1TB_14-16in,HP,Notebook/Laptop,99.0,Used,Used,Amd,AMD,Other/Unspecified,,2.0,Windows,HDD/SSD,750.0,,750.0,1TB,4.0,4GB,15.6,14-16in,,,Black,3,False,False,False,False
2251,Dell_i5_8GB_128GB_14-16in,Dell,Notebook/Laptop,139.0,Refurbished - Good,Refurbished,Other,Intel,i5,2.0,2.5,Windows,SSD,,128.0,128.0,128GB,8.0,8GB,14.0,14-16in,,,Gray,0,False,False,False,False
2252,Dell_i5_8GB_Unk_12-14in,Dell,Notebook/Laptop,550.0,Used,Used,Other,Intel,i5,,2.3,Unknown,OTHER,,,,Unk,8.0,8GB,12.5,12-14in,1366.0,768.0,Black,0,False,False,False,False
2253,Acer_celeron_16GB_Unk_Sub-12in,Acer,Notebook/Laptop,40.0,Used,Used,Other,Intel,celeron,,1.4,Chrome,Unknown,,,,Unk,16.0,16GB,11.6,Sub-12in,,,Black,0,False,False,False,False
2254,Dell_core2duo_4GB_Unk_14-16in,Dell,Notebook/Laptop,125.0,For Parts / Not Working,End-of-Life,Other,Intel,core 2 duo,,2.8,Unknown,OTHER,,,,Unk,4.0,4GB,14.0,14-16in,1366.0,768.0,Black,1,False,False,False,True
2255,HP_celeron_4GB_64GB_14-16in,HP,Notebook/Laptop,140.0,Used,Used,Intel,Intel,celeron,,1.1,Chrome,EMMC,32.0,32.0,64.0,64GB,4.0,4GB,14.0,14-16in,1366.0,768.0,Gray,5,True,False,True,True
2256,Lenovo_celeron_4GB_32GB_Sub-12in,Lenovo,Other,45.0,Used,Used,Other,Intel,celeron,,1.6,Chrome,SSD,16.0,16.0,32.0,32GB,4.0,4GB,11.6,Sub-12in,1366.0,768.0,Black,0,False,False,False,False
2257,Samsung_celeron_4GB_32GB_14-16in,Samsung,Notebook/Laptop,119.5,Refurbished - Excellent,Refurbished,Intel,Intel,celeron,,1.1,Chrome,EMMC,,32.0,32.0,32GB,4.0,4GB,14.0,14-16in,1366.0,768.0,Silver,3,False,False,True,True
2258,Dell_core2duo_4GB_512GB_14-16in,Dell,Notebook/Laptop,237.5,Used,Used,Other,Intel,core 2 duo,,1.66,Windows,HDD/SSD,500.0,,500.0,512GB,4.0,4GB,15.0,14-16in,,,Gray,0,False,False,False,False
2259,Dell_i7_16GB_2TB_12-14in,Dell,Notebook/Laptop,290.0,Refurbished - Very Good,Refurbished,Other,Intel,i7,8.0,1.9,Windows,SSD,512.0,512.0,1024.0,2TB,16.0,16GB,13.0,12-14in,1920.0,1080.0,Other,1,True,False,False,False
2260,Acer_i3_Unk_Unk_12-14in,Acer,Notebook/Laptop,55.0,Used,Used,Other,Intel,i3,8.0,,Unknown,Unknown,,,,Unk,,Unk,13.7,12-14in,,,Other,0,False,False,False,False
2261,Dell_i5_16GB_1TB_14-16in,Dell,Notebook/Laptop,140.0,Used,Used,Other,Intel,i5,8.0,1.7,Windows,SSD,512.0,256.0,768.0,1TB,16.0,16GB,14.0,14-16in,1920.0,1080.0,Black,4,False,True,False,True
2262,Other/Unbranded_i7_2GB_2TB_14-16in,Other/Unbranded,Other,2340.0,New,New,Nvidia,Intel,i7,11.0,3.8,Linux,SSD,1000.0,1000.0,2000.0,2TB,0.064,2GB,15.6,14-16in,3840.0,2400.0,Black,12,False,True,True,True
2263,Dell_i5_16GB_512GB_14-16in,Dell,Notebook/Laptop,159.8,Used,Used,Other,Intel,i5,7.0,2.6,Windows,SSD,256.0,256.0,512.0,512GB,16.0,16GB,14.0,14-16in,,,Orange,3,False,False,True,True
2264,Acer_i3_4GB_256GB_14-16in,Acer,Notebook/Laptop,249.9,Unknown,Unknown,Intel,Intel,i3,11.0,4.1,Windows,SSD,128.0,128.0,256.0,256GB,4.0,4GB,15.6,14-16in,1920.0,1080.0,Silver,4,False,True,True,True
2265,Other/Unbranded_Unknown_Unk_Unk_Unk,Other/Unbranded,Other,221.5,Used,Used,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
2266,HP_i5_16GB_512GB_14-16in,HP,Notebook/Laptop,199.0,Used,Used,Intel,Intel,i5,5.0,2.2,Windows,SSD,256.0,256.0,512.0,512GB,16.0,16GB,15.6,14-16in,1366.0,768.0,Black,5,False,True,True,True
2267,Lenovo_i7_16GB_2TB_14-16in,Lenovo,Notebook/Laptop,570.0,Open Box,Like-New,Intel,Intel,i7,11.0,4.7,Windows,SSD,512.0,512.0,1024.0,2TB,12.0,16GB,15.6,14-16in,1920.0,1080.0,Blue,7,True,True,True,True
2268,Dell_i5_Unk_256GB_14-16in,Dell,Notebook/Laptop,347.8,Used,Used,Intel,Intel,i5,3.0,3.0,Windows,Unknown,,240.0,240.0,256GB,,Unk,14.0,14-16in,1280.0,720.0,Other,2,False,False,False,True
2269,Dell_i5_16GB_512GB_12-14in,Dell,Notebook/Laptop,167.0,Used,Used,Intel,Intel,i5,7.0,2.6,Windows,SSD,250.0,240.0,490.0,512GB,16.0,16GB,12.5,12-14in,1920.0,1080.0,Other,5,True,True,False,True
2270,Samsung_celeron_4GB_32GB_Sub-12in,Samsung,Notebook/Laptop,38.0,Used,Used,Intel,Intel,celeron,,2.5,Chrome,SSD,16.0,16.0,32.0,32GB,4.0,4GB,11.6,Sub-12in,1366.0,768.0,Black,5,True,True,True,True
2271,Asus_i7_16GB_1TB_16in+,Asus,Notebook/Laptop,1617.0,Unknown,Unknown,Intel,Intel,i7,12.0,2.3,Windows,SSD,,1000.0,1000.0,1TB,16.0,16GB,16.0,16in+,3840.0,2400.0,Black,2,False,True,True,False
